iteration,timestamp,current_simulations,replay_buffer_size,training_mode,opponent_games,self_play_games,initial_loss,final_loss,loss_reduction,loss_reduction_pct
32,2025-12-04T13:36:19.724457,100,50000,self-play (warm-up),0,50,2.80348801612854,2.6543397903442383,0.14914822578430176,5.320095000451156
33,2025-12-04T13:41:34.354077,100,50000,self-play (warm-up),0,50,2.844418525695801,2.9374513626098633,-0.0930328369140625,-3.270715475715896
34,2025-12-04T13:47:11.718741,100,50000,self-play (warm-up),0,50,2.8308141231536865,2.86698842048645,-0.03617429733276367,-1.2778761076853562
35,2025-12-04T13:53:03.884783,100,50000,self-play (warm-up),0,50,2.9461467266082764,2.8856241703033447,0.06052255630493164,2.0542953872025125
36,2025-12-04T13:59:12.176036,100,50000,self-play (warm-up),0,50,2.885763168334961,3.068924903869629,-0.18316173553466797,-6.347081338637688
37,2025-12-04T14:04:28.610312,100,50000,self-play (warm-up),0,50,2.93367600440979,2.8242669105529785,0.10940909385681152,3.729419802744132
38,2025-12-04T14:10:09.292022,100,50000,self-play (warm-up),0,50,3.0495951175689697,2.9770314693450928,0.07256364822387695,2.3794518756221694
39,2025-12-04T14:15:42.694117,100,50000,self-play (warm-up),0,50,2.973196268081665,2.8994810581207275,0.0737152099609375,2.4793253897260965
40,2025-12-04T14:21:17.903751,100,50000,self-play (warm-up),0,50,3.1394600868225098,3.1379332542419434,0.0015268325805664062,0.0486336038153533
41,2025-12-04T14:27:12.969633,100,50000,self-play (warm-up),0,50,3.1549952030181885,2.895031690597534,0.2599635124206543,8.239743508071369
42,2025-12-04T14:32:47.136152,100,50000,self-play (warm-up),0,50,2.980752468109131,2.968430280685425,0.012322187423706055,0.4133918383207027
43,2025-12-04T14:37:36.109496,100,50000,self-play (warm-up),0,50,2.9725446701049805,2.9441094398498535,0.028435230255126953,0.9565955573721526
44,2025-12-04T14:42:19.497710,100,50000,self-play (warm-up),0,50,2.971597194671631,2.8419151306152344,0.12968206405639648,4.3640525805088695
45,2025-12-04T14:48:26.579402,100,50000,self-play (warm-up),0,50,3.1624627113342285,2.9559364318847656,0.2065262794494629,6.530552240482557
46,2025-12-04T14:53:56.310122,100,50000,self-play (warm-up),0,50,2.925114393234253,2.936577796936035,-0.011463403701782227,-0.3918959110897308
47,2025-12-04T14:59:12.934158,100,50000,self-play (warm-up),0,50,3.1032376289367676,2.8628182411193848,0.2404193878173828,7.74737279464336
48,2025-12-04T15:04:30.807548,100,50000,self-play (warm-up),0,50,2.9305949211120605,2.8013792037963867,0.12921571731567383,4.409197476758094
49,2025-12-04T15:09:41.696416,100,50000,self-play (warm-up),0,50,3.1312997341156006,2.94266939163208,0.1886303424835205,6.024027033515429
50,2025-12-04T15:15:35.630290,100,50000,self-play (warm-up),0,50,2.9834885597229004,3.139458656311035,-0.15597009658813477,-5.227775922915585
51,2025-12-04T15:21:11.542613,100,50000,self-play (warm-up),0,50,3.057669162750244,2.7001380920410156,0.3575310707092285,11.69292855698111
